date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:35:15	33910/33910	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Dec%202020%2003:12:20%20GMT	https://max.cfw.sh/	C:/My%20Web%20Sites/max/max.cfw.sh/index.html	(from )
19:35:15	229/229	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Dec%202020%2010:35:16%20GMT	https://max.cfw.sh/robots.txt		(from )
19:35:16	175228/175228	---M-Z	200	added ('OK')	text/css	etag:%222ac7c-5a89d03c20c47-gzip%22	https://max.cfw.sh/css/materialize.min.css	C:/My%20Web%20Sites/max/max.cfw.sh/css/materialize.min.css	(from https://max.cfw.sh/)
19:35:17	7714/7714	---M-Z	200	added ('OK')	text/css	etag:%221e22-5b5fafd01a0ee-gzip%22	https://max.cfw.sh/css/styles.css	C:/My%20Web%20Sites/max/max.cfw.sh/css/styles.css	(from https://max.cfw.sh/)
19:35:17	7120/7120	---M--	200	added ('OK')	image/png	etag:%221bd0-5b633dc8cb5f9%22	https://max.cfw.sh/img/icons/favicon.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/icons/favicon.png	(from https://max.cfw.sh/)
19:35:18	272/272	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Dec%202020%2010:35:19%20GMT	https://max.cfw.sh/img/icons/fblogo.jpg	C:/My%20Web%20Sites/max/max.cfw.sh/img/icons/fblogo.jpg	(from https://max.cfw.sh/)
19:35:20	25824/25824	---M--	200	added ('OK')	image/jpeg	etag:%2264e0-5a89d03b46ff9%22	https://max.cfw.sh/8ung.jpg	C:/My%20Web%20Sites/max/max.cfw.sh/8ung.jpg	(from https://max.cfw.sh/)
19:35:20	9765/9765	---M--	200	added ('OK')	image/png	etag:%222625-5b58056c2a40e%22	https://max.cfw.sh/img/discord.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/discord.png	(from https://max.cfw.sh/)
19:35:21	114844/114844	---M--	200	added ('OK')	image/png	etag:%221c09c-5a89d03c8a3be%22	https://max.cfw.sh/img/logo.2.1.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/logo.2.1.png	(from https://max.cfw.sh/)
19:35:21	33576/33576	---M--	200	added ('OK')	image/png	etag:%228328-5b5805bd2446e%22	https://max.cfw.sh/img/telegram.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/telegram.png	(from https://max.cfw.sh/)
19:35:22	68330/68330	---M--	200	added ('OK')	image/png	etag:%2210aea-5b5fdc309f26c%22	https://max.cfw.sh/img/max-512.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/max-512.png	(from https://max.cfw.sh/)
19:35:23	10202/10202	---M--	200	added ('OK')	image/png	etag:%2227da-5a89d03cb245b%22	https://max.cfw.sh/img/scooterhacking.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/scooterhacking.png	(from https://max.cfw.sh/)
19:35:23	1576/1576	---M--	200	added ('OK')	image/png	etag:%22628-5a89d03c38345%22	https://max.cfw.sh/img/5780472.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/5780472.png	(from https://max.cfw.sh/)
19:35:23	186920/186920	---M--	200	added ('OK')	image/png	etag:%222da28-5a89d03c8b35e%22	https://max.cfw.sh/img/395711.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/395711.png	(from https://max.cfw.sh/)
19:35:24	31044/31044	---M--	200	added ('OK')	image/png	etag:%227944-5a89d03c4db03%22	https://max.cfw.sh/img/downg.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/downg.png	(from https://max.cfw.sh/)
19:35:24	4026/4026	---M--	200	added ('OK')	image/png	etag:%22fba-5a89d03c5c562%22	https://max.cfw.sh/img/knocker.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/knocker.png	(from https://max.cfw.sh/)
19:35:24	87046/87046	---M--	200	added ('OK')	image/png	etag:%2215406-5a89d03caf57b%22	https://max.cfw.sh/img/rollerplausch.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/rollerplausch.png	(from https://max.cfw.sh/)
19:35:25	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15851%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/max/cdnjs.cloudflare.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://max.cfw.sh/)
19:35:25	6343/6343	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Dec%202020%2022:52:32%20GMT	https://max.cfw.sh/changelog/	C:/My%20Web%20Sites/max/max.cfw.sh/changelog/index.html	(from https://max.cfw.sh/)
19:35:25	796/796	---M-Z	200	added ('OK')	application/javascript	etag:%2231c-5b64854a4611e-gzip%22	https://cfw.sh/global_js/cookie_utils.js	C:/My%20Web%20Sites/max/cfw.sh/global_js/cookie_utils.js	(from https://max.cfw.sh/)
19:35:26	247330/247330	---M-Z	200	added ('OK')	application/javascript	etag:%223c622-5a89d03dc9903-gzip%22	https://max.cfw.sh/js/materialize.min.js	C:/My%20Web%20Sites/max/max.cfw.sh/js/materialize.min.js	(from https://max.cfw.sh/)
19:35:27	404/404	---M-Z	200	added ('OK')	application/javascript	etag:%22194-5b5f8399f6057-gzip%22	https://max.cfw.sh/js/init.min.js	C:/My%20Web%20Sites/max/max.cfw.sh/js/init.min.js	(from https://max.cfw.sh/)
19:35:27	4830/4830	---M-Z	200	added ('OK')	application/javascript	etag:%2212de-5b6781c789927-gzip%22	https://max.cfw.sh/js/forms.min.js	C:/My%20Web%20Sites/max/max.cfw.sh/js/forms.min.js	(from https://max.cfw.sh/)
19:35:27	8046/8046	---M-Z	200	added ('OK')	application/javascript	etag:%221f6e-5b6781f3d52ea-gzip%22	https://max.cfw.sh/js/ui.min.js	C:/My%20Web%20Sites/max/max.cfw.sh/js/ui.min.js	(from https://max.cfw.sh/)
19:35:28	219/219	---M--	200	added ('OK')	image/png	etag:%22db-5b5f8575eddcd%22	https://max.cfw.sh/img/climpek.png	C:/My%20Web%20Sites/max/max.cfw.sh/img/climpek.png	(from https://max.cfw.sh/css/styles.css)
19:35:28	155764/155764	---M-Z	200	added ('OK')	text/css	etag:%2226074-5b621dc8370ad-gzip%22	https://max.cfw.sh/static/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/max/max.cfw.sh/static/vendor/bootstrap/css/bootstrap.min.css	(from https://max.cfw.sh/changelog/)
19:35:28	205/205	---M-Z	200	added ('OK')	text/css	etag:%22cd-5b621dc49a2b0-gzip%22	https://max.cfw.sh/static/styles/print-styles.css	C:/My%20Web%20Sites/max/max.cfw.sh/static/styles/print-styles.css	(from https://max.cfw.sh/changelog/)
19:35:30	272/272	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Dec%202020%2010:35:30%20GMT	https://max.cfw.sh/static/favicon.ico	C:/My%20Web%20Sites/max/max.cfw.sh/static/favicon.ico	(from https://max.cfw.sh/changelog/)
19:35:30	86929/86929	---M-Z	200	added ('OK')	application/javascript	etag:%2215391-5b621dc53e3e3-gzip%22	https://max.cfw.sh/static/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/max/max.cfw.sh/static/vendor/jquery/jquery.min.js	(from https://max.cfw.sh/changelog/)
19:35:30	78641/78641	---M-Z	200	added ('OK')	application/javascript	etag:%2213331-5b621dc998959-gzip%22	https://max.cfw.sh/static/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/max/max.cfw.sh/static/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://max.cfw.sh/changelog/)
19:35:31	20226/20226	---M-Z	200	added ('OK')	application/javascript	etag:%224f02-5b621dcce753b-gzip%22	https://max.cfw.sh/_next/static/chunks/main-c1f3171fa068c32521e2.js	C:/My%20Web%20Sites/max/max.cfw.sh/_next/static/chunks/main-c1f3171fa068c32521e2.js	(from https://max.cfw.sh/changelog/)
19:35:31	1539/1539	---M-Z	200	added ('OK')	application/javascript	etag:%22603-5b621dccfbd61-gzip%22	https://max.cfw.sh/_next/static/chunks/webpack-e067438c4cf4ef2ef178.js	C:/My%20Web%20Sites/max/max.cfw.sh/_next/static/chunks/webpack-e067438c4cf4ef2ef178.js	(from https://max.cfw.sh/changelog/)
19:35:31	128409/128409	---M-Z	200	added ('OK')	application/javascript	etag:%221f599-5b621dcce753b-gzip%22	https://max.cfw.sh/_next/static/chunks/framework.964e76377795026233d5.js	C:/My%20Web%20Sites/max/max.cfw.sh/_next/static/chunks/framework.964e76377795026233d5.js	(from https://max.cfw.sh/changelog/)
19:35:32	34556/34556	---M-Z	200	added ('OK')	application/javascript	etag:%2286fc-5b621dccbf48f-gzip%22	https://max.cfw.sh/_next/static/chunks/f6078781a05fe1bcb0902d23dbbb2662c8d200b3.86256fa3aea5ddb9c8f6.js	C:/My%20Web%20Sites/max/max.cfw.sh/_next/static/chunks/f6078781a05fe1bcb0902d23dbbb2662c8d200b3.86256fa3aea5ddb9c8f6.js	(from https://max.cfw.sh/changelog/)
19:35:32	2151/2151	---M-Z	200	added ('OK')	application/javascript	etag:%22867-5b621dd26b8a3-gzip%22	https://max.cfw.sh/_next/static/chunks/pages/_app-af1b8e54567fd58d71e4.js	C:/My%20Web%20Sites/max/max.cfw.sh/_next/static/chunks/pages/_app-af1b8e54567fd58d71e4.js	(from https://max.cfw.sh/changelog/)
19:35:33	16255/16255	---M-Z	200	added ('OK')	application/javascript	etag:%223f7f-5b621dd23ab55-gzip%22	https://max.cfw.sh/_next/static/chunks/pages/index-cc0a99d358619de66e8d.js	C:/My%20Web%20Sites/max/max.cfw.sh/_next/static/chunks/pages/index-cc0a99d358619de66e8d.js	(from https://max.cfw.sh/changelog/)
19:35:34	92328/92328	---M-Z	200	added ('OK')	application/javascript	etag:%22168a8-5b621dcd1a1ca-gzip%22	https://max.cfw.sh/_next/static/chunks/polyfills-36bde18dcfde0c144be5.js	C:/My%20Web%20Sites/max/max.cfw.sh/_next/static/chunks/polyfills-36bde18dcfde0c144be5.js	(from https://max.cfw.sh/changelog/)
19:35:34	298/298	---M-Z	200	added ('OK')	application/javascript	etag:%2212a-5b621dcd9b071-gzip%22	https://max.cfw.sh/_next/static/hycFKAiLOjRx8UiABW7JK/_buildManifest.js	C:/My%20Web%20Sites/max/max.cfw.sh/_next/static/hycFKAiLOjRx8UiABW7JK/_buildManifest.js	(from https://max.cfw.sh/changelog/)
19:35:35	76/76	---M-Z	200	added ('OK')	application/javascript	etag:%224c-5b621dcd99131-gzip%22	https://max.cfw.sh/_next/static/hycFKAiLOjRx8UiABW7JK/_ssgManifest.js	C:/My%20Web%20Sites/max/max.cfw.sh/_next/static/hycFKAiLOjRx8UiABW7JK/_ssgManifest.js	(from https://max.cfw.sh/changelog/)
